Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20701,3o,3+,2o,3o,-4,3o,-3,1o
20702,2+,1o,1+,-1,0+,-1,-2,1+
20703,-1,-1,-1,1o,1+,-1,-2,-1
20704,1+,-1,-1,0+,-1,0+,1+,3o
20705,2o,1+,2+,2o,2+,-3,4o,3+
20706,4o,4+,3+,4o,3+,-4,3+,3o
20707,3+,1+,-2,1+,2o,2+,2+,1o
20708,2o,1+,1o,-2,2o,1+,-2,4o
20709,3o,2+,-3,-3,2+,3o,3o,-3
20710,2o,-2,2+,-2,-2,1+,2+,2o
20711,1+,0+,-1,1o,-2,1o,2o,-3
20712,2o,-3,3o,-5,4o,4o,3o,2o
20713,2o,2o,1+,1+,-2,-2,-2,1o
20714,0+,0+,-1,-1,0+,-1,-1,0+
20715,-1,0+,1+,-1,1o,1+,-2,1+
20716,-2,2o,1+,-2,-3,3o,4o,3+
20717,-3,-4,3o,2+,2+,5o,4o,3o
20718,-3,-2,-2,-2,-1,0+,0+,0+
20719,0+,-1,0+,3+,2o,3+,-2,4o
20720,4+,4+,-3,2o,-2,2+,3o,4o
20721,4+,-5,3+,1+,-4,-4,3+,1o
20722,2+,2+,4o,-4,3+,3o,-3,3o
20723,-4,2o,2+,2o,-3,3+,-4,-5
20724,-3,2o,-2,-2,2o,1o,2o,1+
20725,2+,2+,-2,-3,-3,-3,3o,-4
20726,3+,-3,2o,-3,2o,3o,-3,3o
20727,-4,3o,2+,3+,4o,3+,3o,3o
20728,-4,3o,2+,-2,2o,-3,2o,2o
20729,-2,2+,2o,1o,4+,3o,-2,1+
20730,1+,1+,1o,-1,1o,2o,3o,2+
20731,-2,1o,-1,2o,2+,3o,2o,1o
