Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20801,-1,3+,3+,4o,5+,4o,3o,-5
20802,6o,6o,-4,2+,4+,-4,4o,-6
20803,-5,-3,3+,-3,2o,2o,-3,2o
20804,3+,4+,3+,-3,1+,-2,2+,-1
20805,1o,1+,1o,1o,-1,1o,1+,2o
20806,2o,1+,-1,-1,1+,0+,0+,-1
20807,2o,1o,1o,1o,-1,1+,1+,-1
20808,1o,-2,0+,1o,-2,1+,2+,3o
20809,-2,1o,2o,-2,4o,3+,-4,3+
20810,-4,-5,2o,-3,3+,2o,-2,-3
20811,-1,1+,-2,-3,4+,-4,3+,2+
20812,3o,3o,-3,-3,3o,-2,2o,-3
20813,3o,3o,2o,-2,1+,1o,2o,2o
20814,-2,-2,2o,2o,-4,-4,-3,3o
20815,2o,-2,2+,3+,3o,3+,5+,5o
20816,-3,2+,4+,2+,-3,-2,1+,1o
20817,-1,3o,3+,1+,2o,1+,2o,2o
20818,3+,-3,1+,1+,2o,-2,5+,5+
20819,4+,4o,5o,4o,3+,3o,-4,5o
20820,3+,4o,-2,-2,1+,3+,-6,6+
20821,5+,5+,5+,3o,4o,-3,3o,3o
20822,3o,-3,-3,1o,1o,1+,-2,1o
20823,1o,1+,-2,-2,1o,1+,-3,-3
20824,2o,1o,1o,1o,1+,1o,-1,-1
20825,-2,1o,-2,1+,1o,-1,-1,2+
20826,2o,2o,-2,3+,-4,-5,3+,3o
20827,-3,-4,2+,-3,-3,-3,2o,3+
20828,2o,-2,2o,1+,1+,-2,2+,2+
20829,3o,1o,-1,1+,3o,3o,-2,1+
20830,1o,-3,3o,-2,-3,-2,2+,0+
20831,-1,1+,-2,2+,2o,1+,-2,3+
