Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20901,-4,2+,2o,-2,-2,1+,2o,4o
20902,3+,2+,-2,3o,2o,1o,-1,-1
20903,0+,-1,-1,2+,1+,-1,3+,-3
20904,4+,6+,4+,5o,-5,-5,-5,-3
20905,2o,3+,-2,-2,-2,-2,1+,1+
20906,-2,2o,2+,2o,-3,1+,1+,1+
20907,2o,3+,3o,-2,-3,-7,7+,7o
20908,7+,-6,3+,-2,-1,2o,3o,-4
20909,-2,-1,0+,-1,-2,2o,3+,4o
20910,-4,2+,-2,3o,4o,-5,4+,-5
20911,2+,2+,4o,5o,3o,-5,-4,-5
20912,3+,3o,-3,3o,3+,-3,3o,2o
20913,3+,3o,3o,3o,-2,1+,2o,1+
20914,-3,3o,2+,2+,-2,1+,1+,-1
20915,-2,1o,1+,-2,1+,-2,2+,2o
20916,1o,1o,1+,-2,3o,1+,1+,0+
20917,0+,-3,2o,3o,-3,-3,-3,3o
20918,-4,-3,2+,3+,-4,-3,2o,-3
20919,-3,1+,2o,3o,-4,-5,2o,3o
20920,2o,-2,1o,-1,0+,-1,0+,1+
20921,-2,1o,1o,2o,2+,-3,1o,-1
20922,2o,1+,2o,-1,2o,-3,-2,1+
20923,1o,0+,-1,0o,0o,-1,-1,0o
20924,0o,0o,0+,1+,1+,0+,1o,0+
20925,0o,0o,0o,0+,1+,1o,0+,1o
20926,-2,-1,1o,1o,-1,1+,-2,-3
20927,3o,1+,0+,1+,-2,-2,-1,-2
20928,2o,1+,1o,-1,0+,1+,-2,1+
20929,0+,-1,1o,0+,1+,1o,-1,-2
20930,-2,-4,4o,5o,5o,3+,3+,-5
