Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
21001,-2,-3,-5,-6,-7,7+,-5,-7
21002,7o,7+,5+,-4,-3,3+,-3,3+
21003,6o,-3,-4,3o,-4,5o,6+,-6
21004,7+,-6,6o,-5,4o,-4,6+,4+
21005,4+,4+,-3,3+,-5,5+,3+,3o
21006,-2,3+,-4,3o,1+,-2,-4,4o
21007,3+,5+,-6,-4,5o,-5,-6,-6
21008,-5,6o,4+,4o,4o,4+,3+,2+
21009,1o,3o,4+,3+,-4,4o,-4,3+
21010,3o,-4,4o,4o,2+,2o,1+,3o
21011,1+,2o,2o,-2,2o,-2,1o,-2
21012,-2,1o,1+,2+,-2,2o,-1,-2
21013,1+,-2,-2,1o,1o,1o,-2,-2
21014,-3,-4,-5,3+,-5,-4,3o,3o
21015,-3,3+,-3,4o,-3,4o,-4,-3
21016,3+,-2,-2,2+,-3,3o,-6,3o
21017,-4,3+,-3,-2,3o,2o,2+,-3
21018,3+,3+,2+,2o,3o,3o,-3,3o
21019,-3,3+,-3,2o,2o,2+,-4,-4
21020,3o,3+,-2,2+,-3,-2,-2,-3
21021,2o,-3,-3,-2,2o,2o,-2,2o
21022,3o,-2,-2,-4,2+,-2,-3,1o
21023,1o,1o,2o,2o,3o,3+,3o,3+
21024,5o,-6,4+,6o,6o,6+,-6,-5
21025,6o,5o,5o,4+,-5,3o,3+,4+
21026,4o,4o,-4,-5,4o,4o,4+,3o
21027,3o,4o,-4,-3,-4,4o,4o,5o
21028,-5,-4,3+,3+,3o,2+,3+,-3
21029,3+,-3,3o,-4,-3,-2,3o,3o
21030,2o,-3,5o,-3,2o,2+,3+,3o
21031,4o,3+,3o,3+,4o,4o,3+,2o
