Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20601,0o,0+,-1,-1,0+,1o,1+,2+
20602,4o,3+,2o,2+,-3,3o,3+,-4
20603,3o,3+,2+,1o,-2,1o,-3,2+
20604,3+,3o,4o,-3,-3,2+,-2,2o
20605,3o,2+,1+,-1,1+,1o,1+,1+
20606,-2,1+,1+,1o,0+,1o,1o,1+
20607,1+,1o,1o,1o,1o,1o,1+,2+
20608,-1,1o,1o,2o,4o,-4,-4,-4
20609,-3,-3,2o,-2,1+,-2,-3,2o
20610,-2,2o,3+,-3,3+,-4,3o,-3
20611,2+,-2,2+,2+,-2,2o,2+,2o
20612,-3,-2,-1,-2,-2,1+,1+,2o
20613,1+,2+,-2,1+,-2,2+,-3,1+
20614,-2,-1,1o,-1,1o,1o,1o,1o
20615,1o,-1,-1,-1,-1,0+,1o,2+
20616,2o,-2,-3,-2,-3,1o,1+,2o
20617,2+,1+,1+,1o,-1,1o,-1,-1
20618,-1,-1,-1,2+,3+,3o,3+,-3
20619,-4,-3,2+,-3,1+,2+,2o,3o
20620,2o,2o,2o,-2,1o,-1,1o,-1
20621,-2,2+,1o,1+,2+,2o,2+,1+
20622,1o,-1,-1,1+,1+,2o,2o,-3
20623,-2,2+,3o,3o,2+,1+,2o,2o
20624,-2,-2,1+,1+,1o,2o,1+,-1
20625,2o,1+,1o,-2,3+,1+,-2,-3
20626,-3,1o,0+,0+,-2,2+,1o,1o
20627,1o,0+,0+,0+,0+,0+,1o,0o
20628,0+,0+,0+,0+,-1,1o,-1,0+
20629,1o,-1,0+,1+,1o,1+,2+,2+
20630,2+,-3,3o,-3,-3,2+,2+,3+
